id,courseId,userId,chapters_completed,percentage_completed,certificate,updated_day,updated_month,updated_year,progress_category
1,1,1,0,0.0,,26,11,2020,Not Started
2,2,1,0,0.0,,9,10,2021,Not Started
3,3,1,0,0.0,,7,3,2020,Not Started
4,4,1,0,0.0,,18,11,2021,Not Started
5,5,1,0,0.0,,8,1,2021,Not Started
6,6,1,0,0.0,,14,4,2023,Not Started
7,7,1,0,0.0,,30,1,2023,Not Started
8,8,1,0,0.0,,14,11,2020,Not Started
9,9,1,0,0.0,,21,2,2021,Not Started
10,10,1,0,0.0,,13,3,2023,Not Started
11,11,1,0,0.0,,24,8,2020,Not Started
12,12,1,0,0.0,,29,9,2024,Not Started
13,13,1,0,0.0,,7,5,2020,Not Started
14,14,1,0,0.0,,16,9,2020,Not Started
15,15,1,0,0.0,,16,12,2023,Not Started
16,16,1,0,0.0,,24,4,2021,Not Started
17,17,1,0,0.0,,6,12,2021,Not Started
18,18,1,0,0.0,,26,7,2023,Not Started
19,19,1,0,0.0,,26,6,2021,Not Started
20,20,1,0,0.0,,26,7,2024,Not Started
21,21,1,0,0.0,,9,11,2021,Not Started
22,22,1,0,0.0,,6,7,2024,Not Started
23,23,1,0,0.0,,16,9,2022,Not Started
24,24,1,0,0.0,,25,5,2022,Not Started
25,25,1,0,0.0,,25,11,2023,Not Started
26,26,1,0,0.0,,21,6,2020,Not Started
27,27,1,0,0.0,,13,1,2023,Not Started
28,28,1,0,0.0,,28,12,2020,Not Started
29,29,1,0,0.0,,22,4,2024,Not Started
30,30,1,0,0.0,,24,12,2023,Not Started
31,1,2,0,0.0,,26,11,2020,Not Started
32,2,2,0,0.0,,9,10,2021,Not Started
33,3,2,0,0.0,,7,3,2020,Not Started
34,4,2,0,0.0,,18,11,2021,Not Started
35,5,2,0,0.0,,8,1,2021,Not Started
36,6,2,0,0.0,,14,4,2023,Not Started
37,7,2,0,0.0,,30,1,2023,Not Started
38,8,2,0,0.0,,14,11,2020,Not Started
39,9,2,0,0.0,,21,2,2021,Not Started
40,10,2,0,0.0,,13,3,2023,Not Started
41,11,2,0,0.0,,24,8,2020,Not Started
42,12,2,0,0.0,,29,9,2024,Not Started
43,13,2,0,0.0,,7,5,2020,Not Started
44,14,2,0,0.0,,16,9,2020,Not Started
45,15,2,0,0.0,,16,12,2023,Not Started
46,16,2,0,0.0,,24,4,2021,Not Started
47,17,2,0,0.0,,6,12,2021,Not Started
48,18,2,0,0.0,,26,7,2023,Not Started
49,19,2,0,0.0,,26,6,2021,Not Started
50,20,2,0,0.0,,26,7,2024,Not Started
51,21,2,0,0.0,,9,11,2021,Not Started
52,22,2,0,0.0,,6,7,2024,Not Started
53,23,2,0,0.0,,16,9,2022,Not Started
54,24,2,0,0.0,,25,5,2022,Not Started
55,25,2,0,0.0,,25,11,2023,Not Started
56,26,2,0,0.0,,21,6,2020,Not Started
57,27,2,0,0.0,,13,1,2023,Not Started
58,28,2,0,0.0,,28,12,2020,Not Started
59,29,2,0,0.0,,22,4,2024,Not Started
60,30,2,0,0.0,,24,12,2023,Not Started
61,1,3,0,0.0,,26,11,2020,Not Started
62,2,3,0,0.0,,9,10,2021,Not Started
63,3,3,0,0.0,,7,3,2020,Not Started
64,4,3,0,0.0,,18,11,2021,Not Started
65,5,3,0,0.0,,8,1,2021,Not Started
66,6,3,0,0.0,,14,4,2023,Not Started
67,7,3,0,0.0,,30,1,2023,Not Started
68,8,3,0,0.0,,14,11,2020,Not Started
69,9,3,0,0.0,,21,2,2021,Not Started
70,10,3,0,0.0,,13,3,2023,Not Started
71,11,3,0,0.0,,24,8,2020,Not Started
72,12,3,0,0.0,,29,9,2024,Not Started
73,13,3,0,0.0,,7,5,2020,Not Started
74,14,3,0,0.0,,16,9,2020,Not Started
75,15,3,0,0.0,,16,12,2023,Not Started
76,16,3,0,0.0,,24,4,2021,Not Started
77,17,3,0,0.0,,6,12,2021,Not Started
78,18,3,0,0.0,,26,7,2023,Not Started
79,19,3,0,0.0,,26,6,2021,Not Started
80,20,3,0,0.0,,26,7,2024,Not Started
81,21,3,0,0.0,,9,11,2021,Not Started
82,22,3,0,0.0,,6,7,2024,Not Started
83,23,3,0,0.0,,16,9,2022,Not Started
84,24,3,0,0.0,,25,5,2022,Not Started
85,25,3,0,0.0,,25,11,2023,Not Started
86,26,3,0,0.0,,21,6,2020,Not Started
87,27,3,0,0.0,,13,1,2023,Not Started
88,28,3,0,0.0,,28,12,2020,Not Started
89,29,3,0,0.0,,22,4,2024,Not Started
90,30,3,0,0.0,,24,12,2023,Not Started
91,1,4,0,0.0,,26,11,2020,Not Started
92,2,4,0,0.0,,9,10,2021,Not Started
93,3,4,0,0.0,,7,3,2020,Not Started
94,4,4,0,0.0,,18,11,2021,Not Started
95,5,4,0,0.0,,8,1,2021,Not Started
96,6,4,0,0.0,,14,4,2023,Not Started
97,7,4,0,0.0,,30,1,2023,Not Started
98,8,4,0,0.0,,14,11,2020,Not Started
99,9,4,0,0.0,,21,2,2021,Not Started
100,10,4,0,0.0,,13,3,2023,Not Started
101,11,4,0,0.0,,24,8,2020,Not Started
102,12,4,0,0.0,,29,9,2024,Not Started
103,13,4,0,0.0,,7,5,2020,Not Started
104,14,4,0,0.0,,16,9,2020,Not Started
105,15,4,0,0.0,,16,12,2023,Not Started
106,16,4,0,0.0,,24,4,2021,Not Started
107,17,4,0,0.0,,6,12,2021,Not Started
108,18,4,0,0.0,,26,7,2023,Not Started
109,19,4,0,0.0,,26,6,2021,Not Started
110,20,4,0,0.0,,26,7,2024,Not Started
111,21,4,0,0.0,,9,11,2021,Not Started
112,22,4,0,0.0,,6,7,2024,Not Started
113,23,4,0,0.0,,16,9,2022,Not Started
114,24,4,0,0.0,,25,5,2022,Not Started
115,25,4,0,0.0,,25,11,2023,Not Started
116,26,4,0,0.0,,21,6,2020,Not Started
117,27,4,0,0.0,,13,1,2023,Not Started
118,28,4,0,0.0,,28,12,2020,Not Started
119,29,4,0,0.0,,22,4,2024,Not Started
120,30,4,0,0.0,,24,12,2023,Not Started
121,1,5,0,0.0,,26,11,2020,Not Started
122,2,5,0,0.0,,9,10,2021,Not Started
123,3,5,0,0.0,,7,3,2020,Not Started
124,4,5,0,0.0,,18,11,2021,Not Started
125,5,5,0,0.0,,8,1,2021,Not Started
126,6,5,0,0.0,,14,4,2023,Not Started
127,7,5,0,0.0,,30,1,2023,Not Started
128,8,5,0,0.0,,14,11,2020,Not Started
129,9,5,0,0.0,,21,2,2021,Not Started
130,10,5,0,0.0,,13,3,2023,Not Started
131,11,5,0,0.0,,24,8,2020,Not Started
132,12,5,0,0.0,,29,9,2024,Not Started
133,13,5,0,0.0,,7,5,2020,Not Started
134,14,5,0,0.0,,16,9,2020,Not Started
135,15,5,0,0.0,,16,12,2023,Not Started
136,16,5,0,0.0,,24,4,2021,Not Started
137,17,5,0,0.0,,6,12,2021,Not Started
138,18,5,0,0.0,,26,7,2023,Not Started
139,19,5,0,0.0,,26,6,2021,Not Started
140,20,5,0,0.0,,26,7,2024,Not Started
141,21,5,0,0.0,,9,11,2021,Not Started
142,22,5,0,0.0,,6,7,2024,Not Started
143,23,5,0,0.0,,16,9,2022,Not Started
144,24,5,0,0.0,,25,5,2022,Not Started
145,25,5,0,0.0,,25,11,2023,Not Started
146,26,5,0,0.0,,21,6,2020,Not Started
147,27,5,0,0.0,,13,1,2023,Not Started
